seed_id,variant,split,view,sketch_mode,motif,filter_kind,filter_kind_tags,output_slot_total,filter_total,evidence_total,join_path_total,ambiguous_count_star,output_column_recall_at_1,output_case_recall_at_1,output_column_recall_at_3,output_case_recall_at_3,output_column_recall_at_6,output_case_recall_at_6,filter_column_recall_at_1,filter_column_recall_at_3,evidence_table_recall_at_1,evidence_table_recall_at_4,gold_join_path_reachable_at_2,evidence_path_reachable_at_2,gold_join_path_reachable_at_3,evidence_path_reachable_at_3
spider__body_builder__01158,A,l0,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__body_builder__01158,A,l1,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__body_builder__01158,A,l2,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__body_builder__01159,A,l0,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],2,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__body_builder__01159,A,l1,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],2,0,0,1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__body_builder__01159,A,l2,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],2,0,0,1,False,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__body_builder__01162,A,l0,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__body_builder__01162,A,l1,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__body_builder__01162,A,l2,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__book_2__00222,A,l0,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__book_2__00222,A,l1,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__book_2__00222,A,l2,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__book_2__00224,A,l0,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__book_2__00224,A,l1,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__book_2__00224,A,l2,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__browser_web__01839,A,l0,full,fallback,SimpleJoin,none,['none'],0,0,0,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__browser_web__01839,A,l1,full,fallback,SimpleJoin,none,['none'],0,0,0,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__browser_web__01839,A,l2,full,fallback,SimpleJoin,none,['none'],0,0,0,4,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__browser_web__01840,A,l0,full,fallback,SimpleJoin,none,['none'],0,0,0,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__browser_web__01840,A,l1,full,fallback,SimpleJoin,none,['none'],0,0,0,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__browser_web__01840,A,l2,full,fallback,SimpleJoin,none,['none'],0,0,0,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__chinook_1__00825,A,l0,full,fallback,AggregationJoin,ordering/superlative,['ordering/superlative'],1,0,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__chinook_1__00825,A,l1,full,fallback,AggregationJoin,ordering/superlative,['ordering/superlative'],1,0,1,1,True,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__chinook_1__00825,A,l2,full,fallback,AggregationJoin,ordering/superlative,['ordering/superlative'],1,0,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__chinook_1__00826,A,l0,full,fallback,AggregationJoin,ordering/superlative,['ordering/superlative'],1,0,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__chinook_1__00826,A,l1,full,fallback,AggregationJoin,ordering/superlative,['ordering/superlative'],1,0,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__chinook_1__00826,A,l2,full,fallback,AggregationJoin,ordering/superlative,['ordering/superlative'],1,0,1,1,True,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__climbing__01130,A,l0,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__climbing__01130,A,l1,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__climbing__01130,A,l2,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__climbing__01131,A,l0,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__climbing__01131,A,l1,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__climbing__01131,A,l2,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__climbing__01132,A,l0,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__climbing__01132,A,l1,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__climbing__01132,A,l2,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__climbing__01133,A,l0,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__climbing__01133,A,l1,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__climbing__01133,A,l2,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__college_3__04694,A,l0,full,fallback,FilterJoin,numeric,"['numeric', 'text']",2,1,1,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__college_3__04694,A,l1,full,fallback,FilterJoin,numeric,"['numeric', 'text']",2,1,1,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__college_3__04694,A,l2,full,fallback,FilterJoin,numeric,"['numeric', 'text']",2,1,1,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__college_3__04695,A,l0,full,fallback,FilterJoin,numeric,"['numeric', 'text']",2,1,1,1,False,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__college_3__04695,A,l1,full,fallback,FilterJoin,numeric,"['numeric', 'text']",2,1,1,1,False,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
spider__college_3__04695,A,l2,full,fallback,FilterJoin,numeric,"['numeric', 'text']",2,1,1,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__county_public_safety__02552,A,l0,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__county_public_safety__02552,A,l1,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__county_public_safety__02552,A,l2,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.5,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__county_public_safety__02553,A,l0,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__county_public_safety__02553,A,l1,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__county_public_safety__02553,A,l2,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__cre_Drama_Workshop_Groups__05132,A,l0,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__cre_Drama_Workshop_Groups__05132,A,l1,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__cre_Drama_Workshop_Groups__05132,A,l2,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__cre_Drama_Workshop_Groups__05133,A,l0,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__cre_Drama_Workshop_Groups__05133,A,l1,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__cre_Drama_Workshop_Groups__05133,A,l2,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__culture_company__06996,A,l0,full,fallback,FilterJoin,text,['text'],2,1,1,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__culture_company__06996,A,l1,full,fallback,FilterJoin,text,['text'],2,1,1,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
spider__culture_company__06996,A,l2,full,fallback,FilterJoin,text,['text'],2,1,1,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
spider__customer_complaints__05794,A,l0,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,2,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__customer_complaints__05794,A,l1,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,2,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__customer_complaints__05794,A,l2,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__customer_complaints__05795,A,l0,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,2,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__customer_complaints__05795,A,l1,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,2,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__customer_complaints__05795,A,l2,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,2,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__customer_deliveries__02848,A,l0,full,fallback,SimpleJoin,none,['none'],0,0,0,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__customer_deliveries__02848,A,l1,full,fallback,SimpleJoin,none,['none'],0,0,0,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__customer_deliveries__02848,A,l2,full,fallback,SimpleJoin,none,['none'],0,0,0,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__customers_and_addresses__06086,A,l0,full,fallback,AggregationJoin,ordering/superlative,['ordering/superlative'],1,0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0
spider__customers_and_addresses__06086,A,l1,full,fallback,AggregationJoin,ordering/superlative,['ordering/superlative'],1,0,2,2,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
spider__customers_and_addresses__06086,A,l2,full,fallback,AggregationJoin,ordering/superlative,['ordering/superlative'],1,0,2,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
spider__customers_and_invoices__01553,A,l0,full,fallback,FilterJoin,text,['text'],4,1,1,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__customers_and_invoices__01553,A,l1,full,fallback,FilterJoin,text,['text'],4,1,1,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
spider__customers_and_invoices__01553,A,l2,full,fallback,FilterJoin,text,['text'],4,1,1,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
